Year,Material Code,Company,Material Name,Supplier Name,Manufacturer Name,PO Quantity,UOM,Net Price in USD,Historic Date,Latest Historic Net Price USD,Historic Supplier Name,Historic Manufacturer Name,Current Rate Total PO Value,Last Rate Total PO Value,Annual Net Saving in USD,% Age (Sav/Los),Mfg Status,Saving/Loss Impact
Aug-26,111000141,LAB,PREGELATINIZED STARCH USP/NF, NISHCHEM INTERNATIONAL P,Roquette,1500,KG,6,14/05/2026 0:00,6, OPUS GLOBAL (FZE),Roquette,9000,9000,$0 ,0,Same Mfg,No Change
Aug-26,111000235,LAB,MOXIFLOXACIN HYDROCHLORIDE BP, ENALTEC LABS PRIVATE LIM,ENALTEC LABS PVT LTD,7000,G,0.3,05/03/2026 0:00,0.3, ENALTEC LABS PRIVATE LIM,ENALTEC LABS PVT LTD,2100,2100,$0 ,0,Same Mfg,No Change
Aug-26,111000281,LAB,TOBRAMYCIN  BASE USP, CHONGXING DAXIN PHARMACE,CHONGQING DAXIN PHARMACEUTICAL CO. LTD.,2000,G,1.45,03/04/2026 0:00,1.45, CHONGXING DAXIN PHARMACE,CHONGQING DAXIN PHARMACEUTICAL CO. LTD.,2900,2900,$0 ,0,Same Mfg,No Change
Aug-26,111000315,LAB,DIPHENHYDRAMINE HYDROCHLORIDE BP, Jiangxi Healthcare Impor,JIANGXI MEDICINES AND HEALTH PRODUCTS I/E CO. LTD,200,KG,13.5,02/06/2026 0:00,13.5, Jiangxi Healthcare Impor,JIANGXI MEDICINES AND HEALTH PRODUCTS I/E CO. LTD,2700,2700,$0 ,0,Same Mfg,No Change
Aug-26,111000222,LAB,LISINOPRIL DIHYDRATE USP, Zhejiang Huahai Pharmace,Zhejiang Huahai Pharmace,150,KG,250,18/09/2025 0:00,250, Zhejiang Huahai Pharmace,"ZHEJIANG HUAHAI PHARMACEUTICAL CO., LTD",37500,37500,$0 ,0,Same Mfg,No Change
Aug-26,111000288,LAB,TICAGRELOR, KOPRAN RESEARCH LABORATO,KOPRAN RESEARCH LABORATO,100,KG,255,19/06/2026 0:00,255, KOPRAN RESEARCH LABORATO,Kopran Research Laboratories,25500,25500,$0 ,0,Same Mfg,No Change
Aug-26,111000449,LAB,OTESECONAZOLE, ZHEJIANG TIANYU PHARMACE,ZHEJIANG TIANYU PHARMACE,50,KG,2700,26/03/2026 0:00,2700, ZHEJIANG TIANYU PHARMACE,"ZHEJIANG TIANYU PHARMACEUTICAL CO., LTD.",135000,135000,$0 ,0,Same Mfg,No Change
Aug-26,114000156,AHL,CRANBERRY EXTRACT(VACCINIUM MACROCARPON, OPEN MARKET,NATUREX,50,KG,60.40992449,18/05/2026 0:00,60.40992449, OPEN MARKET,NATUREX,3020.496224,3020.496224,$0 ,0,Same Mfg,No Change
Aug-26,111000450,LAB,"HG CAPS SIZE 1 CAP DARK BLUE, BODY WHITE", PHARMNOVA (PRIVATE) LIMI,PHARMNOVA PVT LTD,5000,HND,0.323624595,06/04/2026 0:00,0.323624595, PHARMNOVA (PRIVATE) LIMI,PHARMNOVA PVT LTD,1618.122977,1618.122977,$0 ,0,Same Mfg,No Change
Aug-26,111000188,LAB,PINEAPPLE 900 MS, STANDARD MANUFACTURING C,STANDARD MANUFACTURING C,10,L,9.836533621,18/06/2026 0:00,9.836533621, STANDARD MANUFACTURING C,"STANDARD MANUFACTURING COMPANY, PAKISTAN.",98.36533621,98.36533621,$0 ,0,Same Mfg,No Change
Aug-26,111000166,LAB,BENZYL ALCOHOL BP, MARTIN DOW SPECIALITIES,MERCK GERMANY.,50,L,24.52355268,17/06/2026 0:00,24.52355268, MARTIN DOW SPECIALITIES,MERCK GERMANY.,1226.177634,1226.177634,$0 ,0,Same Mfg,No Change
